userid,query,service_class,query_cpu_time,query_blocks_read,query_execution_time,query_cpu_usage_percent,query_temp_blocks_to_disk,segment_execution_time,cpu_skew,io_skew,scan_row_count,join_row_count,nested_loop_join_row_count,return_row_count,spectrum_scan_row_count,spectrum_scan_size_mb,query_queue_time,service_class_name,starttime,querytxt
107,11310563,102,631,80543,17,35.97,2265,12,80.00,1.09,1725242121,8421026,,3674063,,,,Default queue                                                   ,2020-05-06 00:16:12.502978," SELECT fct_version, date, v.device_type, v.program, asin, sum(vdp_plus_units - baseline_units) as promo_units FROM vdp_staging_retailer_vdps v LEFT JOIN asins USING(asin) WHERE fct_version IN ('VDP_20181231','VDP_20190107','VDP_20190114','VDP_20190121','VDP_20190128','VDP_20190204','VDP_20190211','VDP_20190218','VDP_20190225','VDP_20190304','VDP_20190311','VDP_20190318','VDP_20190325','VDP_20190401','VDP_20190408','VDP_20190415','VDP_20190422','VDP_20190429','VDP_20190506','VDP_20190513','VDP_20190520','VDP_20190527','VDP_20190603','VDP_20190610','VDP_20190617','VDP_20190624','VDP_20190701','VDP_20190708','VDP_20190715','VDP_20190722','VDP_20190729','VDP_20190805','VDP_20190812','VDP_20190819','VDP_20190826','VDP_20190902','VDP_20190909','VDP_20190916','VDP_20190923','VDP_20190930','VDP_20191007','VDP_20191014','VDP_20191021','VDP_20191028','VDP_20191104','VDP_20191111','VDP_20191118','VDP_20191125','VDP_20191202','VDP_20191209','VDP_20191216','VDP_20191223','VDP_20191230','VDP_20200106','VDP_20200113','VDP_20200120','VDP_20200127','VDP_20200203','VDP_20200210','VDP_20200217','VDP_20200224') AND date BETWEEN '2018-12-16' AND Getdate() AND from_country = 'US' AND channel = 'ONLINE' AND UPPER(v.device_type) IN ('AUCC', 'SMP', 'TABLET', 'EINK', 'RING', 'BLINK') GROUP BY 1,2,3,4,5 ORDER BY 1,2,3,4,5;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          "
126,11290722,101,533,1937,20,32.82,1954,16,2.07,1.07,65451008,,,,,,,Queue 2                                                         ,2020-05-05 21:41:43.697116,"COPY public.test_solver_asin_invnetories(run_type,asin,location,date,description,value,created_at,updated_at,processed_file_id) FROM 's3://solver-input-prod/TestManifest/test_solver_asin_inventories.manifest' CREDENTIALS '' TIMEFORMAT 'auto' DATEFORMAT 'YYYY-MM-DD' IGNOREHEADER 1 CSV MANIFEST                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           "
129,11305986,101,1,0,3,0.59,1823,2,80.00,,532480,,,,,,,Queue 2                                                         ,2020-05-05 23:47:00.935178,"create temp table gs9_actualised diststyle all as ( select 'GS9 Actualised' as source, * from ( select year,date_month,country, channel,asin,program, device_Type,bundle,storage, wireless_type,dtcp, retailer_name, sum(vdp_plus_units) vdp_plus_units, sum(baseline_units) baseline_units, sum(promo_units) promo_units , sum(actuals) actuals from rod_vdp_forcast where fct_version LIKE 'GS9%' group by 1,2,3,4,5,6,7,8,9,10,11,12 union all select year,date_month,country, channel,asin,program, device_Type,bundle,storage, wireless_type,dtcp, retailer_name, sum(vdp_plus_units) vdp_plus_units, sum(baseline_units), sum(promo_units) promo_units, sum(actuals) actuals from actuals group by 1,2,3,4,5,6,7,8,9,10,11,12 ) )                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         "
107,11290593,102,1618,3046205,224,4.22,1635,57,80.00,6.86,6795011714,1081268324,,6154874,,,1,Default queue                                                   ,2020-05-05 21:40:54.502789,fetch 10000 in "SQL_CUR6";                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
107,11306662,102,5,2579,11,0.70,1261,5,80.00,40.00,51243008,223,,3563,,,1,Default queue                                                   ,2020-05-05 23:50:56.920622,fetch 10000 in "SQL_CUR6";                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
133,11302297,101,995,43724,76,11.12,1218,25,77.71,6.38,789520015,21600690,,,,,,Queue 2                                                         ,2020-05-05 23:11:04.779099,INSERT INTO "vdp_retailer_attainments_cache" SELECT * FROM "vdp_retailer_attainments"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
129,11304073,101,1,0,3,0.60,1214,3,80.00,,555008,,,,,,,Queue 2                                                         ,2020-05-05 23:31:53.858922,"create temp table vg1_actualised diststyle all as ( select 'VG1 Actualised' as source, * from ( select year,date_month,country, channel,asin,program, device_Type,bundle,storage, wireless_type,dtcp, retailer_name, sum(vdp_plus_units) vdp_plus_units, sum(baseline_units) baseline_units, sum(promo_units) promo_units , sum(actuals) actuals from rod_vdp_forcast where fct_version LIKE 'VG1%' group by 1,2,3,4,5,6,7,8,9,10,11,12 union all select year,date_month,country, channel,asin,program, device_Type,bundle,storage, wireless_type,dtcp, retailer_name, sum(vdp_plus_units) vdp_plus_units, sum(baseline_units), sum(promo_units) promo_units, sum(actuals) actuals from actuals group by 1,2,3,4,5,6,7,8,9,10,11,12 ) )                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         "
129,11294253,101,44,65990,20,5.45,1189,6,15.56,15.09,764593152,,,,,,,Queue 2                                                         ,2020-05-05 22:05:57.275206,"create temp table choose_vdp_official as ( select distinct max(fct_version) fct_version from redshift_Vdps where vdp_type ='device' and left(fct_version,3) = 'GS4' union all select distinct max(fct_version) from redshift_Vdps where vdp_type ='device' and left(fct_version,3) = 'GS5' union all select distinct max(fct_version) from redshift_Vdps where vdp_type ='device' and left(fct_version,3) = 'GS9' union all select distinct max(fct_version) from redshift_Vdps where vdp_type ='device' and left(fct_version,3) = 'PLF' union all select distinct max(fct_version) from redshift_Vdps where vdp_type ='device' and left(fct_version,3) = 'VLA' union all select distinct max(fct_version) from redshift_Vdps where vdp_type ='device' and left(fct_version,3) = 'VL2' union all select distinct max(fct_version) from redshift_Vdps where vdp_type ='device' and left(fct_version,3) = 'VL3' union all select distinct max(fct_version) from redshift_Vdps where vdp_type ='device' and left(fct_version,3) = 'VG1')                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           "
133,11289476,101,2132,30488,188,6.34,1020,59,48.16,2.50,1416790329,265333394,,,,,,Queue 2                                                         ,2020-05-05 21:28:31.402449,"INSERT INTO hourly_asin_orders_new ( country, channel, marketplace, asin, hour, quantity, merchant_type ) SELECT ""hourly_asin_orders_view"".* FROM ""hourly_asin_orders_view""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     "
129,11306489,101,94,259637,13,2.59,1010,12,40.00,1.08,2205037821,66509,,,,,,Queue 2                                                         ,2020-05-05 23:50:08.608745,"create temp table reseller_table_Constrained_Unconstrained distkey(program2) AS ( SELECT s.processed_file_id, s.description, p.device_type, p.program, p.program2, s.date, s.run_type, SUM(s.value) as udrp FROM solver_asin_inventories s LEFT JOIN asin_program a ON s.asin = a.asin INNER JOIN AllPOR p ON p.processed_file_id = s.processed_file_id AND p.program2 = upper(a.program2) -- LEFT JOIN devices d on s.asin = d.asin WHERE s.description IN ('ExpectedShipFromCM') AND a.device_type not IN ('Accessory','DASH','FSN') AND s.run_type IN ('Unconstrained') and date >= '2020-04-19' --date_trunc('week',current_date+1)-1 GROUP BY 1,2,3,4,5,6,7)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               "
107,11294102,102,1367,2740082,142,5.82,1009,51,80.00,5.00,6758070708,1077597273,,,,,,Default queue                                                   ,2020-05-05 22:04:55.135751,fetch 10000 in "SQL_CUR6";                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
